Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.0959,0.0087,153,"{""lr"": 0.019062374828215056, ""hidden_sizes"": [8, 8], ""batch_size"": 16, ""offset"": 0.15000000000000002, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.9732,0.0280,0.9854,0.0206,0.9864,0.0172
load_auto_mpg,regression,NRMSE,0.0930,0.0111,273,"{""lr"": 0.09441402371625429, ""hidden_sizes"": [16, 8], ""batch_size"": 64, ""offset"": 0.35000000000000003, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.5310,0.4381,0.4771,0.4318,0.4822,0.4337
load_boston_housing,regression,NRMSE,0.0856,0.0088,1537,"{""lr"": 0.09360540102485378, ""hidden_sizes"": [32, 32], ""batch_size"": 128, ""offset"": 0.05, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.0396,0.0694,0.0218,0.0345,0.0257,0.0423
load_compas,classification,Error Rate,0.3083,0.0083,2625,"{""lr"": 0.018000554787310736, ""hidden_sizes"": [64, 32], ""batch_size"": 16, ""offset"": 0.0, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.9032,0.1525,0.5272,0.2990,0.5282,0.2915
load_era,regression,NRMSE,0.1942,0.0086,1249,"{""lr"": 0.09360540102485378, ""hidden_sizes"": [32, 32], ""batch_size"": 128, ""offset"": 0.05, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.0210,0.0262,0.0110,0.0136,0.0150,0.0190
load_esl,regression,NRMSE,0.0772,0.0063,1249,"{""lr"": 0.09272540713258394, ""hidden_sizes"": [32, 32], ""batch_size"": 16, ""offset"": 0.0, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.0408,0.0393,0.0102,0.0112,0.0122,0.0119
load_heart,classification,Error Rate,0.1485,0.0235,1537,"{""lr"": 0.09360540102485378, ""hidden_sizes"": [32, 32], ""batch_size"": 128, ""offset"": 0.05, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.0567,0.1133,0.1200,0.2400,0.1033,0.2067
load_lev,regression,NRMSE,0.1572,0.0091,369,"{""lr"": 0.009756377654499408, ""hidden_sizes"": [16, 16], ""batch_size"": 32, ""offset"": 0.2, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.0010,0.0020,0.0020,0.0040,0.0000,0.0000
load_swd,regression,NRMSE,0.2041,0.0121,4929,"{""lr"": 0.01568231274600551, ""hidden_sizes"": [64, 64], ""batch_size"": 64, ""offset"": 0.15000000000000002, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.8120,0.1021,0.8280,0.0808,0.8190,0.0739
