Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.0935,0.0092,721,"{""lr"": 0.03216881540961735, ""hidden_sizes"": [16, 32], ""batch_size"": 16, ""monotonicity_weight"": 1.0, ""offset"": 0.5, ""epochs"": 100}",0.9811,0.0155,0.9971,0.0046,0.9962,0.0065
load_auto_mpg,regression,NRMSE,0.0790,0.0105,801,"{""lr"": 0.027500903128188918, ""hidden_sizes"": [32, 16], ""batch_size"": 16, ""monotonicity_weight"": 1.0, ""offset"": 0.35000000000000003, ""epochs"": 100}",0.9822,0.0235,0.9872,0.0162,0.9797,0.0284
load_boston_housing,regression,NRMSE,0.0803,0.0125,5121,"{""lr"": 0.016990398573475583, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""monotonicity_weight"": 100.0, ""offset"": 0.2, ""epochs"": 100}",0.0158,0.0317,0.0554,0.0967,0.0554,0.1060
load_compas,classification,Error Rate,0.3057,0.0116,4737,"{""lr"": 0.03947528125473297, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""monotonicity_weight"": 1.0, ""offset"": 0.15000000000000002, ""epochs"": 100}",0.6420,0.3179,0.6088,0.3152,0.6014,0.3148
load_era,regression,NRMSE,0.1930,0.0081,705,"{""lr"": 0.0706947619721799, ""hidden_sizes"": [32, 16], ""batch_size"": 16, ""monotonicity_weight"": 1.0, ""offset"": 0.35000000000000003, ""epochs"": 100}",0.0820,0.0820,0.0730,0.0813,0.0670,0.0787
load_esl,regression,NRMSE,0.0809,0.0093,201,"{""lr"": 0.0997068227503642, ""hidden_sizes"": [8, 16], ""batch_size"": 16, ""monotonicity_weight"": 100.0, ""offset"": 0.5, ""epochs"": 100}",0.1478,0.1267,0.0553,0.0694,0.0410,0.0452
load_heart,classification,Error Rate,0.1884,0.0400,369,"{""lr"": 0.01669670082994449, ""hidden_sizes"": [16, 8], ""batch_size"": 128, ""monotonicity_weight"": 10.0, ""offset"": 0.35000000000000003, ""epochs"": 100}",0.0767,0.1533,0.1033,0.2067,0.0933,0.1867
load_lev,regression,NRMSE,0.1577,0.0088,1377,"{""lr"": 0.047677422757588385, ""hidden_sizes"": [64, 16], ""batch_size"": 16, ""monotonicity_weight"": 100.0, ""offset"": 0.30000000000000004, ""epochs"": 100}",0.0030,0.0040,0.0000,0.0000,0.0000,0.0000
load_swd,regression,NRMSE,0.2090,0.0137,169,"{""lr"": 0.012214062548156775, ""hidden_sizes"": [8, 8], ""batch_size"": 64, ""monotonicity_weight"": 1.0, ""offset"": 0.5, ""epochs"": 100}",0.5530,0.2262,0.6050,0.1434,0.5960,0.1471
