Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.1093,0.0104,2689,"{""lr"": 0.0729130638245025, ""hidden_sizes"": [64, 32], ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_auto_mpg,regression,NRMSE,0.0953,0.0111,225,"{""lr"": 0.0996854383497249, ""hidden_sizes"": [8, 16], ""batch_size"": 64, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_boston_housing,regression,NRMSE,0.1145,0.0175,193,"{""lr"": 0.09241655064390843, ""hidden_sizes"": [8, 8], ""batch_size"": 64, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_compas,classification,Error Rate,0.3339,0.0094,145,"{""lr"": 0.017340750366137917, ""hidden_sizes"": [8, 8], ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_era,regression,NRMSE,0.1946,0.0078,121,"{""lr"": 0.09528317218891633, ""hidden_sizes"": [8, 8], ""batch_size"": 64, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_esl,regression,NRMSE,0.0785,0.0070,4545,"{""lr"": 0.05427870037773274, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.1781,0.0260,513,"{""lr"": 0.027299947944498238, ""hidden_sizes"": [16, 16], ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,NRMSE,0.1578,0.0087,225,"{""lr"": 0.008476798466510081, ""hidden_sizes"": [16, 8], ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_swd,regression,NRMSE,0.2047,0.0137,2817,"{""lr"": 0.08630758126793614, ""hidden_sizes"": [64, 32], ""batch_size"": 64, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
