Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.0986,0.0082,2689,"{""lr"": 0.026481585424772, ""hidden_sizes"": [64, 32], ""batch_size"": 32, ""offset"": 0.30000000000000004, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.9866,0.0244,0.9914,0.0172,0.9921,0.0158
load_auto_mpg,regression,NRMSE,0.0895,0.0031,2625,"{""lr"": 0.010247824343201806, ""hidden_sizes"": [64, 32], ""batch_size"": 16, ""offset"": 0.35000000000000003, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.8756,0.1761,0.9264,0.1161,0.9163,0.1422
load_boston_housing,regression,NRMSE,0.0920,0.0083,1537,"{""lr"": 0.09360540102485378, ""hidden_sizes"": [32, 32], ""batch_size"": 128, ""offset"": 0.05, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.2218,0.2984,0.1287,0.2244,0.1267,0.2117
load_compas,classification,Error Rate,0.3093,0.0072,4737,"{""lr"": 0.03085473344630506, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""offset"": 0.15000000000000002, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.9212,0.1209,0.9072,0.1604,0.9106,0.1615
load_era,regression,NRMSE,0.1942,0.0077,849,"{""lr"": 0.01593503192147738, ""hidden_sizes"": [64, 8], ""batch_size"": 16, ""offset"": 0.0, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.1240,0.0968,0.1060,0.1275,0.1060,0.1115
load_esl,regression,NRMSE,0.0851,0.0113,121,"{""lr"": 0.02397622727424071, ""hidden_sizes"": [8, 8], ""batch_size"": 16, ""offset"": 0.15000000000000002, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.4430,0.4249,0.4124,0.4682,0.4206,0.4739
load_heart,classification,Error Rate,0.1386,0.0308,369,"{""lr"": 0.05945287330479987, ""hidden_sizes"": [16, 8], ""batch_size"": 64, ""offset"": 0.45, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,NRMSE,0.1591,0.0065,225,"{""lr"": 0.02067193766013508, ""hidden_sizes"": [16, 8], ""batch_size"": 64, ""offset"": 0.4, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.0060,0.0097,0.0040,0.0058,0.0110,0.0174
load_swd,regression,NRMSE,0.2070,0.0113,1441,"{""lr"": 0.09272540713258394, ""hidden_sizes"": [32, 32], ""batch_size"": 64, ""offset"": 0.0, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.4490,0.2758,0.4110,0.2577,0.4030,0.2751
