Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.1065,0.0102,4801,"{""lr"": 0.059487468132197734, ""hidden_sizes"": [64, 64], ""batch_size"": 64, ""offset"": 0.0, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.9847,0.0301,0.9811,0.0302,0.9811,0.0245
load_auto_mpg,regression,NRMSE,0.1001,0.0250,273,"{""lr"": 0.09441402371625429, ""hidden_sizes"": [16, 8], ""batch_size"": 64, ""offset"": 0.35000000000000003, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.4617,0.4326,0.5335,0.4458,0.5078,0.4381
load_boston_housing,regression,NRMSE,0.0885,0.0122,1537,"{""lr"": 0.09591634762305963, ""hidden_sizes"": [32, 32], ""batch_size"": 128, ""offset"": 0.1, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.0416,0.0554,0.0000,0.0000,0.0020,0.0040
load_compas,classification,Error Rate,0.3218,0.0254,273,"{""lr"": 0.05945287330479987, ""hidden_sizes"": [16, 8], ""batch_size"": 64, ""offset"": 0.45, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.5138,0.4245,0.4170,0.4571,0.4156,0.4574
load_era,regression,NRMSE,0.1949,0.0088,705,"{""lr"": 0.03924434409926102, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""offset"": 0.1, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.0220,0.0264,0.0140,0.0116,0.0240,0.0224
load_esl,regression,NRMSE,0.0787,0.0070,1249,"{""lr"": 0.09272540713258394, ""hidden_sizes"": [32, 32], ""batch_size"": 16, ""offset"": 0.0, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.0574,0.0394,0.0061,0.0082,0.0123,0.0150
load_heart,classification,Error Rate,0.1452,0.0246,5121,"{""lr"": 0.059487468132197734, ""hidden_sizes"": [64, 64], ""batch_size"": 64, ""offset"": 0.0, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.0885,0.1115,0.0525,0.0765,0.0492,0.0656
load_lev,regression,NRMSE,0.1574,0.0091,369,"{""lr"": 0.009756377654499408, ""hidden_sizes"": [16, 16], ""batch_size"": 32, ""offset"": 0.2, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.0010,0.0020,0.0020,0.0040,0.0000,0.0000
load_swd,regression,NRMSE,0.2087,0.0143,897,"{""lr"": 0.009858102425593393, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""offset"": 0.35000000000000003, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.1400,0.1729,0.2010,0.2255,0.1960,0.2213
