Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.0990,0.0137,153,"{""lr"": 0.026270887274410255, ""hidden_sizes"": [8, 8], ""batch_size"": 16, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.8371,0.3205,0.9785,0.0431,0.9801,0.0397
load_auto_mpg,regression,NRMSE,0.0798,0.0108,4737,"{""lr"": 0.026543342098933137, ""hidden_sizes"": [64, 64], ""batch_size"": 64, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.9643,0.0296,0.9898,0.0051,0.9848,0.0148
load_boston_housing,regression,NRMSE,0.0778,0.0112,3009,"{""lr"": 0.012001629444458135, ""hidden_sizes"": [64, 32], ""batch_size"": 64, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.1287,0.2231,0.2020,0.2279,0.1941,0.2380
load_compas,classification,Error Rate,0.3064,0.0087,1041,"{""lr"": 0.016728886805889544, ""hidden_sizes"": [64, 8], ""batch_size"": 16, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.5956,0.3715,0.4406,0.3941,0.4374,0.3937
load_era,regression,NRMSE,0.1940,0.0092,657,"{""lr"": 0.09028873498545333, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.1990,0.0548,0.1780,0.0614,0.1580,0.0438
load_esl,regression,NRMSE,0.0782,0.0056,657,"{""lr"": 0.09028873498545333, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.1291,0.1069,0.0739,0.0863,0.0554,0.0528
load_heart,classification,Error Rate,0.1520,0.0347,1425,"{""lr"": 0.04325432427964557, ""hidden_sizes"": [64, 8], ""batch_size"": 128, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.3832,0.3516,0.3868,0.4371,0.3868,0.4548
load_lev,regression,NRMSE,0.1587,0.0087,1377,"{""lr"": 0.02282373355734071, ""hidden_sizes"": [64, 16], ""batch_size"": 128, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.0020,0.0024,0.0000,0.0000,0.0000,0.0000
load_swd,regression,NRMSE,0.2049,0.0111,2817,"{""lr"": 0.012001629444458135, ""hidden_sizes"": [64, 32], ""batch_size"": 16, ""monotonicity_weight"": 10000.0, ""epochs"": 100}",0.7350,0.1338,0.7100,0.1333,0.7170,0.1311
