Dataset,Metric,MLP_Baseline
load_abalone,train,0.9875
load_auto_mpg,train,1.0000
load_boston_housing,train,0.3228
load_compas,train,0.5498
load_era,train,0.1530
load_esl,train,0.0164
load_heart,train,0.9704
load_lev,train,0.0140
load_swd,train,0.7020
