Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.1108,0.0102,70,"{""lr"": 0.09744505808020212, ""hidden_sizes"": ""[4, 4]"", ""batch_size"": 16, ""activation"": ""relu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_auto_mpg,regression,NRMSE,0.0853,0.0074,90,"{""lr"": 0.09589101789638893, ""hidden_sizes"": ""[4, 8]"", ""batch_size"": 16, ""activation"": ""elu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_boston_housing,regression,NRMSE,0.0963,0.0129,185,"{""lr"": 0.02974405602643494, ""hidden_sizes"": ""[8, 4, 4]"", ""batch_size"": 64, ""activation"": ""elu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_compas,classification,Error Rate,0.3109,0.0078,509,"{""lr"": 0.010649438604541346, ""hidden_sizes"": ""[8, 16, 16]"", ""batch_size"": 32, ""activation"": ""elu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_era,regression,NRMSE,0.1945,0.0083,78,"{""lr"": 0.06997254058783839, ""hidden_sizes"": ""[4, 8]"", ""batch_size"": 16, ""activation"": ""elu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_esl,regression,NRMSE,0.0761,0.0058,257,"{""lr"": 0.05139503522154863, ""hidden_sizes"": ""[16, 4, 16]"", ""batch_size"": 16, ""activation"": ""elu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.1650,0.0211,329,"{""lr"": 0.04325432427964557, ""hidden_sizes"": ""[16, 4, 4]"", ""batch_size"": 64, ""activation"": ""elu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,NRMSE,0.1580,0.0090,54,"{""lr"": 0.01793772203331746, ""hidden_sizes"": ""[4, 4]"", ""batch_size"": 32, ""activation"": ""elu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_swd,regression,NRMSE,0.2088,0.0140,474,"{""lr"": 0.08850611800564974, ""hidden_sizes"": ""[16, 16]"", ""batch_size"": 32, ""activation"": ""elu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
