Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.0973,0.0104,2465,"{""lr"": 0.019154059639465155, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.9552,0.0896,0.9916,0.0168,0.9921,0.0158
load_auto_mpg,regression,NRMSE,0.0854,0.0149,4737,"{""lr"": 0.055729776815728105, ""hidden_sizes"": [64, 64], ""batch_size"": 64, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.8699,0.0947,0.9363,0.0469,0.9030,0.0600
load_boston_housing,regression,NRMSE,0.0730,0.0100,3009,"{""lr"": 0.030105042077829526, ""hidden_sizes"": [64, 32], ""batch_size"": 16, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.1644,0.1899,0.1624,0.1290,0.1307,0.0873
load_compas,classification,Error Rate,0.3122,0.0110,1041,"{""lr"": 0.0019010245319870357, ""hidden_sizes"": [64, 8], ""batch_size"": 16, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.1352,0.2392,0.2218,0.3793,0.2214,0.3794
load_era,regression,NRMSE,0.1938,0.0083,657,"{""lr"": 0.09028873498545333, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.1060,0.0712,0.0830,0.0670,0.0870,0.0573
load_esl,regression,NRMSE,0.0771,0.0064,2337,"{""lr"": 0.014835615897360946, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.1415,0.1424,0.0225,0.0227,0.0369,0.0391
load_heart,classification,Error Rate,0.1487,0.0386,1425,"{""lr"": 0.04325432427964557, ""hidden_sizes"": [64, 8], ""batch_size"": 128, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.3931,0.3935,0.3738,0.4463,0.4033,0.4805
load_lev,regression,NRMSE,0.1580,0.0092,225,"{""lr"": 0.053588285377161884, ""hidden_sizes"": [16, 8], ""batch_size"": 128, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.0220,0.0196,0.0170,0.0189,0.0220,0.0211
load_swd,regression,NRMSE,0.2042,0.0116,1233,"{""lr"": 0.03470189053896427, ""hidden_sizes"": [64, 8], ""batch_size"": 16, ""monotonicity_weight"": 1000.0, ""epochs"": 100}",0.6780,0.0921,0.6670,0.0772,0.6630,0.0867
