Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.0932,0.0092,2689,"{""lr"": 0.024884888999218185, ""hidden_sizes"": [64, 32], ""batch_size"": 32, ""offset"": 0.5, ""monotonicity_weight"": 1.0, ""epochs"": 100}",0.9902,0.0128,0.9995,0.0010,1.0000,0.0000
load_auto_mpg,regression,NRMSE,0.0807,0.0118,2625,"{""lr"": 0.04943018624063388, ""hidden_sizes"": [64, 32], ""batch_size"": 16, ""offset"": 0.35000000000000003, ""monotonicity_weight"": 1.0, ""epochs"": 100}",0.9899,0.0203,0.9975,0.0051,1.0000,0.0000
load_boston_housing,regression,NRMSE,0.0791,0.0129,1377,"{""lr"": 0.01067691650141012, ""hidden_sizes"": [16, 64], ""batch_size"": 16, ""offset"": 0.30000000000000004, ""monotonicity_weight"": 1.0, ""epochs"": 100}",0.2396,0.1831,0.2238,0.1947,0.2178,0.1540
load_compas,classification,Error Rate,0.3122,0.0110,145,"{""lr"": 0.027437815374282748, ""hidden_sizes"": [8, 8], ""batch_size"": 16, ""offset"": 0.15000000000000002, ""monotonicity_weight"": 1.0, ""epochs"": 100}",0.5506,0.3450,0.2530,0.2951,0.2552,0.2942
load_era,regression,NRMSE,0.1939,0.0083,4545,"{""lr"": 0.059487468132197734, ""hidden_sizes"": [64, 64], ""batch_size"": 64, ""offset"": 0.0, ""monotonicity_weight"": 1.0, ""epochs"": 100}",0.1240,0.0789,0.0880,0.0514,0.0910,0.0574
load_esl,regression,NRMSE,0.0771,0.0059,4545,"{""lr"": 0.020124870829750917, ""hidden_sizes"": [64, 64], ""batch_size"": 64, ""offset"": 0.15000000000000002, ""monotonicity_weight"": 1.0, ""epochs"": 100}",0.0020,0.0041,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.1287,0.0127,721,"{""lr"": 0.09230961236190392, ""hidden_sizes"": [32, 8], ""batch_size"": 64, ""offset"": 0.15000000000000002, ""monotonicity_weight"": 1.0, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,NRMSE,0.1590,0.0104,849,"{""lr"": 0.006004663456707873, ""hidden_sizes"": [64, 8], ""batch_size"": 64, ""offset"": 0.25, ""monotonicity_weight"": 1.0, ""epochs"": 100}",0.0070,0.0140,0.0060,0.0120,0.0050,0.0100
load_swd,regression,NRMSE,0.2053,0.0153,169,"{""lr"": 0.034982273006754806, ""hidden_sizes"": [8, 8], ""batch_size"": 16, ""offset"": 0.30000000000000004, ""monotonicity_weight"": 1.0, ""epochs"": 100}",0.5890,0.2227,0.6710,0.1188,0.6540,0.1199
