Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.1037,0.0106,1361,"{""lr"": 0.09617993698418593, ""n_layers"": 2, ""unit_size"": 16, ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_auto_mpg,regression,NRMSE,0.0887,0.0080,17409,"{""lr"": 0.06717470072222298, ""n_layers"": 2, ""unit_size"": 64, ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_boston_housing,regression,NRMSE,0.0921,0.0118,1553,"{""lr"": 0.04943018624063388, ""n_layers"": 2, ""unit_size"": 16, ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_compas,classification,Error Rate,0.3108,0.0113,17601,"{""lr"": 0.019062374828215056, ""n_layers"": 2, ""unit_size"": 64, ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_era,regression,NRMSE,0.1949,0.0070,17217,"{""lr"": 0.05817810733488471, ""n_layers"": 2, ""unit_size"": 64, ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_esl,regression,NRMSE,0.0849,0.0091,17217,"{""lr"": 0.05846368418076174, ""n_layers"": 2, ""unit_size"": 64, ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.1814,0.0629,2625,"{""lr"": 0.03342391332904151, ""n_layers"": 3, ""unit_size"": 16, ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,NRMSE,0.1581,0.0084,1233,"{""lr"": 0.09584666323734115, ""n_layers"": 2, ""unit_size"": 16, ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_swd,regression,NRMSE,0.2043,0.0125,17793,"{""lr"": 0.0848179708931805, ""n_layers"": 2, ""unit_size"": 64, ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
