Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.1086,0.0102,576,"{""lr"": 0.06978281265126034, ""K"": 2, ""h_K"": 32, ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_auto_mpg,regression,NRMSE,0.0872,0.0074,512,"{""lr"": 0.06978281265126034, ""K"": 2, ""h_K"": 32, ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_boston_housing,regression,NRMSE,0.0799,0.0066,1120,"{""lr"": 0.0449072753777494, ""K"": 5, ""h_K"": 16, ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_compas,classification,Error Rate,0.3122,0.0097,2560,"{""lr"": 0.09613780110627307, ""K"": 5, ""h_K"": 64, ""batch_size"": 64, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_era,regression,NRMSE,0.1938,0.0085,1920,"{""lr"": 0.08706020878304858, ""K"": 6, ""h_K"": 64, ""batch_size"": 64, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_esl,regression,NRMSE,0.0764,0.0057,100,"{""lr"": 0.09589646612138727, ""K"": 5, ""h_K"": 4, ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.1650,0.0235,5376,"{""lr"": 0.08706020878304858, ""K"": 6, ""h_K"": 64, ""batch_size"": 64, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,NRMSE,0.1575,0.0090,100,"{""lr"": 0.09589646612138727, ""K"": 5, ""h_K"": 4, ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_swd,regression,NRMSE,0.2093,0.0147,704,"{""lr"": 0.04513086515775262, ""K"": 4, ""h_K"": 16, ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
