Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.0951,0.0094,1632,"{""lr"": 0.04269033332644625, ""lattice_size"": 2, ""hidden_sizes"": ""[64, 16]"", ""batch_size"": 16, ""epochs"": 100}",0.9990,0.0009,0.9899,0.0127,0.9933,0.0084
load_auto_mpg,regression,NRMSE,0.1871,0.0082,2187,"{""lr"": 0.0715716812513777, ""lattice_size"": 3, ""hidden_sizes"": ""[64, 16]"", ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0051,0.0063
load_boston_housing,regression,NRMSE,0.0777,0.0105,2980,"{""lr"": 0.020124870829750917, ""lattice_size"": 2, ""hidden_sizes"": ""[64, 32]"", ""batch_size"": 32, ""epochs"": 100}",0.6772,0.1635,0.5901,0.3667,0.5921,0.3725
load_compas,classification,Error Rate,0.3138,0.0092,4528,"{""lr"": 0.00191358804876923, ""lattice_size"": 4, ""hidden_sizes"": ""[8, 16]"", ""batch_size"": 64, ""epochs"": 100}",0.4180,0.0342,0.2774,0.2410,0.2750,0.2359
load_era,regression,NRMSE,0.2214,0.0024,256,"{""lr"": 0.04768768542762767, ""lattice_size"": 4, ""hidden_sizes"": ""[8, 32]"", ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_esl,regression,NRMSE,0.1716,0.0143,81,"{""lr"": 0.059487468132197734, ""lattice_size"": 3, ""hidden_sizes"": ""[64, 32]"", ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.1652,0.0627,617,"{""lr"": 0.0017367237151593164, ""lattice_size"": 3, ""hidden_sizes"": ""[16, 16]"", ""batch_size"": 16, ""epochs"": 100}",0.5249,0.1462,0.6832,0.1577,0.6801,0.0634
load_lev,regression,NRMSE,0.2072,0.0061,256,"{""lr"": 0.04768768542762767, ""lattice_size"": 4, ""hidden_sizes"": ""[8, 32]"", ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_swd,regression,NRMSE,0.2061,0.0115,2832,"{""lr"": 0.009578641094788405, ""lattice_size"": 2, ""hidden_sizes"": ""[32, 16]"", ""batch_size"": 32, ""epochs"": 100}",0.2290,0.0603,0.4770,0.0832,0.4650,0.0946
