Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.0967,0.0113,721,"{""lr"": 0.012138467035623055, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""offset"": 0.30000000000000004, ""monotonicity_weight"": 100.0, ""epochs"": 100}",0.9213,0.0828,0.9940,0.0070,0.9928,0.0074
load_auto_mpg,regression,NRMSE,0.0922,0.0208,1041,"{""lr"": 0.05907333972036355, ""hidden_sizes"": [64, 8], ""batch_size"": 16, ""offset"": 0.1, ""monotonicity_weight"": 100.0, ""epochs"": 100}",0.8114,0.1503,0.8340,0.1218,0.8239,0.1348
load_boston_housing,regression,NRMSE,0.0824,0.0130,3009,"{""lr"": 0.009197609129142591, ""hidden_sizes"": [64, 32], ""batch_size"": 32, ""offset"": 0.35000000000000003, ""monotonicity_weight"": 100.0, ""epochs"": 100}",0.0238,0.0427,0.0673,0.1347,0.0554,0.1109
load_compas,classification,Error Rate,0.3083,0.0114,4737,"{""lr"": 0.025869588228116476, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""offset"": 0.15000000000000002, ""monotonicity_weight"": 100.0, ""epochs"": 100}",0.7602,0.2698,0.5866,0.2693,0.5906,0.2763
load_era,regression,NRMSE,0.1942,0.0082,4545,"{""lr"": 0.02066977636043937, ""hidden_sizes"": [64, 64], ""batch_size"": 64, ""offset"": 0.15000000000000002, ""monotonicity_weight"": 100.0, ""epochs"": 100}",0.0660,0.0414,0.0480,0.0316,0.0580,0.0366
load_esl,regression,NRMSE,0.0773,0.0051,705,"{""lr"": 0.09092776038868863, ""hidden_sizes"": [32, 16], ""batch_size"": 32, ""offset"": 0.30000000000000004, ""monotonicity_weight"": 100.0, ""epochs"": 100}",0.0740,0.0930,0.0123,0.0165,0.0268,0.0486
load_heart,classification,Error Rate,0.1419,0.0198,5121,"{""lr"": 0.059487468132197734, ""hidden_sizes"": [64, 64], ""batch_size"": 64, ""offset"": 0.0, ""monotonicity_weight"": 100.0, ""epochs"": 100}",0.1320,0.1339,0.1448,0.2222,0.1579,0.2245
load_lev,regression,NRMSE,0.1584,0.0090,849,"{""lr"": 0.008623896274538783, ""hidden_sizes"": [64, 8], ""batch_size"": 16, ""offset"": 0.15000000000000002, ""monotonicity_weight"": 100.0, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_swd,regression,NRMSE,0.2070,0.0121,1441,"{""lr"": 0.09273855330958358, ""hidden_sizes"": [32, 32], ""batch_size"": 64, ""offset"": 0.0, ""monotonicity_weight"": 100.0, ""epochs"": 100}",0.4790,0.2349,0.4710,0.2019,0.4680,0.2155
