Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.1033,0.0108,746,"{""lr"": 0.08182015680935767, ""K"": 5, ""h_K"": 8, ""batch_size"": 16, ""beta"": 0.11913622153516581, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_auto_mpg,regression,NRMSE,0.0868,0.0083,450,"{""lr"": 0.09744665050025668, ""K"": 5, ""h_K"": 8, ""batch_size"": 16, ""beta"": 3.369503491345312, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_boston_housing,regression,NRMSE,0.0753,0.0118,1282,"{""lr"": 0.0571983598906006, ""K"": 4, ""h_K"": 8, ""batch_size"": 16, ""beta"": 0.2876181348497302, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_compas,classification,Error Rate,0.3061,0.0103,514,"{""lr"": 0.02114817159974452, ""K"": 3, ""h_K"": 8, ""batch_size"": 32, ""beta"": 1.8034038094332563, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_era,regression,NRMSE,0.1927,0.0083,1410,"{""lr"": 0.08782972621019328, ""K"": 4, ""h_K"": 64, ""batch_size"": 32, ""beta"": 0.20163375200033534, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_esl,regression,NRMSE,0.0771,0.0067,290,"{""lr"": 0.09654910008354704, ""K"": 4, ""h_K"": 8, ""batch_size"": 32, ""beta"": 1.2635948024354196, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.1452,0.0191,946,"{""lr"": 0.0123999678368461, ""K"": 2, ""h_K"": 4, ""batch_size"": 16, ""beta"": 1.6941186207399954, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,NRMSE,0.1578,0.0086,170,"{""lr"": 0.01770303613910477, ""K"": 2, ""h_K"": 4, ""batch_size"": 16, ""beta"": 0.7350927190746754, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_swd,regression,NRMSE,0.2068,0.0135,674,"{""lr"": 0.09654910008354704, ""K"": 4, ""h_K"": 8, ""batch_size"": 32, ""beta"": 1.2635948024354196, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
