Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.0951,0.0088,713,"{""lr"": 0.03485450412169859, ""hidden_sizes"": [8, 64], ""batch_size"": 32, ""offset"": 0.2, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.9560,0.0518,0.9964,0.0061,0.9969,0.0051
load_auto_mpg,regression,NRMSE,0.0819,0.0105,801,"{""lr"": 0.06523762727108548, ""hidden_sizes"": [32, 16], ""batch_size"": 16, ""offset"": 0.0, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.9872,0.0199,0.9975,0.0051,0.9974,0.0051
load_boston_housing,regression,NRMSE,0.0911,0.0214,753,"{""lr"": 0.037695006162870255, ""hidden_sizes"": [8, 64], ""batch_size"": 16, ""offset"": 0.2, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.1366,0.2270,0.0396,0.0546,0.0416,0.0615
load_compas,classification,Error Rate,0.3062,0.0105,2625,"{""lr"": 0.028818386329330183, ""hidden_sizes"": [64, 32], ""batch_size"": 16, ""offset"": 0.2, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.8718,0.2009,0.5848,0.2087,0.5848,0.2136
load_era,regression,NRMSE,0.1945,0.0083,225,"{""lr"": 0.08891788596173816, ""hidden_sizes"": [16, 8], ""batch_size"": 16, ""offset"": 0.25, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.0610,0.1195,0.0480,0.0863,0.0520,0.0898
load_esl,regression,NRMSE,0.0799,0.0056,1249,"{""lr"": 0.09360540102485378, ""hidden_sizes"": [32, 32], ""batch_size"": 128, ""offset"": 0.05, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.0246,0.0309,0.0020,0.0041,0.0020,0.0041
load_heart,classification,Error Rate,0.1785,0.0803,273,"{""lr"": 0.0037975447986784154, ""hidden_sizes"": [8, 16], ""batch_size"": 16, ""offset"": 0.1, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.3625,0.3698,0.3366,0.4143,0.3399,0.4173
load_lev,regression,NRMSE,0.1591,0.0101,121,"{""lr"": 0.002089814297009129, ""hidden_sizes"": [8, 8], ""batch_size"": 32, ""offset"": 0.15000000000000002, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.0200,0.0375,0.0220,0.0242,0.0140,0.0166
load_swd,regression,NRMSE,0.2065,0.0126,169,"{""lr"": 0.018462477546188513, ""hidden_sizes"": [8, 8], ""batch_size"": 16, ""offset"": 0.2, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.3890,0.3336,0.3620,0.2950,0.3540,0.3020
