Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.0931,0.0096,2465,"{""lr"": 0.01940328496205369, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.9461,0.0244,0.9890,0.0059,0.9883,0.0058
load_auto_mpg,regression,NRMSE,0.0829,0.0082,2433,"{""lr"": 0.08601352451561646, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.8353,0.2914,0.9493,0.0951,0.9215,0.1150
load_boston_housing,regression,NRMSE,0.0789,0.0100,3009,"{""lr"": 0.0186337148553478, ""hidden_sizes"": [64, 32], ""batch_size"": 128, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.1703,0.1899,0.2436,0.2190,0.2673,0.2070
load_compas,classification,Error Rate,0.3078,0.0105,273,"{""lr"": 0.098182268781891, ""hidden_sizes"": [16, 8], ""batch_size"": 16, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.2246,0.2197,0.4350,0.4138,0.4468,0.4144
load_era,regression,NRMSE,0.1935,0.0078,2433,"{""lr"": 0.08179886140348352, ""hidden_sizes"": [64, 32], ""batch_size"": 64, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.0990,0.0599,0.1060,0.0791,0.0980,0.0664
load_esl,regression,NRMSE,0.0771,0.0063,369,"{""lr"": 0.029978582191230507, ""hidden_sizes"": [16, 16], ""batch_size"": 16, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.0575,0.0471,0.0041,0.0082,0.0041,0.0050
load_heart,classification,Error Rate,0.1321,0.0213,2625,"{""lr"": 0.008407931655574873, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.2401,0.3181,0.1510,0.1675,0.1477,0.1905
load_lev,regression,NRMSE,0.1581,0.0090,849,"{""lr"": 0.0019010245319870357, ""hidden_sizes"": [64, 8], ""batch_size"": 16, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.0110,0.0120,0.0170,0.0189,0.0170,0.0172
load_swd,regression,NRMSE,0.2059,0.0128,169,"{""lr"": 0.022960922733926997, ""hidden_sizes"": [8, 8], ""batch_size"": 16, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.7110,0.1375,0.7090,0.1083,0.7150,0.1305
