Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.0961,0.0100,2689,"{""lr"": 0.03217678015056427, ""hidden_sizes"": [64, 32], ""batch_size"": 64, ""offset"": 0.15000000000000002, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.9648,0.0461,0.9940,0.0120,0.9916,0.0168
load_auto_mpg,regression,NRMSE,0.0843,0.0070,2625,"{""lr"": 0.02576070879547866, ""hidden_sizes"": [64, 32], ""batch_size"": 64, ""offset"": 0.2, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.9695,0.0248,0.9848,0.0245,0.9873,0.0114
load_boston_housing,regression,NRMSE,0.0874,0.0085,1537,"{""lr"": 0.09360540102485378, ""hidden_sizes"": [32, 32], ""batch_size"": 128, ""offset"": 0.05, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.0634,0.0724,0.0099,0.0153,0.0079,0.0097
load_compas,classification,Error Rate,0.3098,0.0112,2625,"{""lr"": 0.01063518743723586, ""hidden_sizes"": [64, 32], ""batch_size"": 16, ""offset"": 0.1, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.4016,0.4096,0.3820,0.3949,0.3774,0.3949
load_era,regression,NRMSE,0.1938,0.0083,4545,"{""lr"": 0.059487468132197734, ""hidden_sizes"": [64, 64], ""batch_size"": 64, ""offset"": 0.0, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.1830,0.0787,0.0970,0.0598,0.1190,0.0654
load_esl,regression,NRMSE,0.0785,0.0065,681,"{""lr"": 0.014670817273054072, ""hidden_sizes"": [8, 64], ""batch_size"": 32, ""offset"": 0.15000000000000002, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.0678,0.0557,0.0082,0.0119,0.0041,0.0050
load_heart,classification,Error Rate,0.1452,0.0267,369,"{""lr"": 0.05945287330479987, ""hidden_sizes"": [16, 8], ""batch_size"": 64, ""offset"": 0.45, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,NRMSE,0.1580,0.0077,225,"{""lr"": 0.02067193766013508, ""hidden_sizes"": [16, 8], ""batch_size"": 64, ""offset"": 0.4, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.0030,0.0040,0.0020,0.0040,0.0030,0.0060
load_swd,regression,NRMSE,0.2066,0.0133,169,"{""lr"": 0.030241702980999964, ""hidden_sizes"": [8, 8], ""batch_size"": 16, ""offset"": 0.2, ""monotonicity_weight"": 10.0, ""epochs"": 100}",0.6200,0.2342,0.6230,0.1698,0.6070,0.1672
