Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.1025,0.0101,4945,"{""lr"": 0.018351620695519332, ""integration_steps"": 23, ""mono_hidden"": ""[16, 64]"", ""nonmono_hidden"": ""[8, 16]"", ""mono_activation"": ""tanh"", ""nonmono_activation"": ""relu"", ""batch_size"": 32, ""epochs"": 100}",0.8000,0.4000,0.8000,0.4000,0.8000,0.4000
load_auto_mpg,regression,NRMSE,0.1053,0.0117,686,"{""lr"": 0.09774677361231089, ""integration_steps"": 34, ""mono_hidden"": ""[32]"", ""nonmono_hidden"": ""[32, 64]"", ""mono_activation"": ""tanh"", ""nonmono_activation"": ""relu"", ""batch_size"": 128, ""epochs"": 100}",1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
load_boston_housing,regression,NRMSE,0.0924,0.0118,5221,"{""lr"": 0.03323304206226794, ""integration_steps"": 27, ""mono_hidden"": ""[64, 32]"", ""nonmono_hidden"": ""[8, 64]"", ""mono_activation"": ""tanh"", ""nonmono_activation"": ""relu"", ""batch_size"": 16, ""epochs"": 100}",0.4000,0.4899,0.4000,0.4899,0.4000,0.4899
load_compas,classification,Error Rate,0.3108,0.0129,1321,"{""lr"": 0.02091196066971308, ""integration_steps"": 18, ""mono_hidden"": ""[8]"", ""nonmono_hidden"": ""[32, 32]"", ""mono_activation"": ""tanh"", ""nonmono_activation"": ""relu"", ""batch_size"": 64, ""epochs"": 100}",0.4000,0.4899,0.4000,0.4899,0.4000,0.4899
load_era,regression,NRMSE,0.2208,0.0081,392,"{""lr"": 0.09951089505369498, ""integration_steps"": 34, ""mono_hidden"": ""[32]"", ""nonmono_hidden"": ""[32, 64]"", ""mono_activation"": ""tanh"", ""nonmono_activation"": ""relu"", ""batch_size"": 128, ""epochs"": 100}",1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
load_esl,regression,NRMSE,0.1138,0.0200,712,"{""lr"": 0.05888941892356712, ""integration_steps"": 15, ""mono_hidden"": ""[16, 8]"", ""nonmono_hidden"": ""[8, 8]"", ""mono_activation"": ""tanh"", ""nonmono_activation"": ""relu"", ""batch_size"": 16, ""epochs"": 100}",0.6873,0.3575,0.7713,0.3872,0.7467,0.3781
load_heart,classification,Error Rate,0.1354,0.0170,1525,"{""lr"": 0.02091196066971308, ""integration_steps"": 18, ""mono_hidden"": ""[8]"", ""nonmono_hidden"": ""[32, 32]"", ""mono_activation"": ""tanh"", ""nonmono_activation"": ""relu"", ""batch_size"": 64, ""epochs"": 100}",0.8000,0.4000,0.8000,0.4000,0.8000,0.4000
load_lev,regression,NRMSE,0.2136,0.0138,392,"{""lr"": 0.09952357753007804, ""integration_steps"": 29, ""mono_hidden"": ""[32]"", ""nonmono_hidden"": ""[8, 8]"", ""mono_activation"": ""tanh"", ""nonmono_activation"": ""relu"", ""batch_size"": 128, ""epochs"": 100}",1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
load_swd,regression,NRMSE,0.2096,0.0155,2991,"{""lr"": 0.09803396768623464, ""integration_steps"": 34, ""mono_hidden"": ""[32]"", ""nonmono_hidden"": ""[32, 64]"", ""mono_activation"": ""tanh"", ""nonmono_activation"": ""relu"", ""batch_size"": 128, ""epochs"": 100}",0.6000,0.4899,0.6000,0.4899,0.6000,0.4899
