Dataset,Task Type,Metric Name,Metric Mean,Metric Std,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,NRMSE,0.1260,0.0265,153,"{""lr"": 0.07717744020454531, ""hidden_sizes"": ""[8, 8]"", ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_auto_mpg,regression,NRMSE,0.4611,0.1732,145,"{""lr"": 0.07717744020454531, ""hidden_sizes"": ""[8, 8]"", ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_boston_housing,regression,NRMSE,0.2228,0.0306,193,"{""lr"": 0.07717744020454531, ""hidden_sizes"": ""[8, 8]"", ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_compas,classification,Error Rate,0.4507,0.0138,225,"{""lr"": 0.003031208952984396, ""hidden_sizes"": ""[8, 16]"", ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_era,regression,NRMSE,0.2374,0.0093,121,"{""lr"": 0.07717744020454531, ""hidden_sizes"": ""[8, 8]"", ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_esl,regression,NRMSE,0.2716,0.0526,121,"{""lr"": 0.07717744020454531, ""hidden_sizes"": ""[8, 8]"", ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.1650,0.0333,1425,"{""lr"": 0.024310135030190617, ""hidden_sizes"": ""[64, 8]"", ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,NRMSE,0.2337,0.0081,121,"{""lr"": 0.07717744020454531, ""hidden_sizes"": ""[8, 8]"", ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_swd,regression,NRMSE,0.2756,0.0113,169,"{""lr"": 0.07717744020454531, ""hidden_sizes"": ""[8, 8]"", ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
